mixere_image,mixere_url,mixere_nume,mixere_nume_url,mixere_pret,mixere_port,mixere+canale
https://www.zeedoshop.ro/55717-home_default/pioneer-djm-s3.jpg,https://www.zeedoshop.ro/produs_pioneer-djm-s3_33282_0,"Mixer DJ pentru Serato
Pioneer DJM S3",https://www.zeedoshop.ro/produs_pioneer-djm-s3_33282_0,"2,649 Lei",usb,mono+stereo
https://www.zeedoshop.ro/58506-home_default/allen-heath-xone-db4.jpg,https://www.zeedoshop.ro/produs_allen-heath-xone-db4_34041_0,"Mixer profesional DJ
Allen & Heath XONE:DB4",https://www.zeedoshop.ro/produs_allen-heath-xone-db4_34041_0,"7,899 Lei",usb,mono+stereo
https://www.zeedoshop.ro/58508-home_default/allen-heath-xone-px5.jpg,https://www.zeedoshop.ro/produs_allen-heath-xone-px5_34043_0,"Mixer DJ
Allen & Heath Xone:PX5",https://www.zeedoshop.ro/produs_allen-heath-xone-px5_34043_0,"5,129 Lei",usb,mono
https://www.zeedoshop.ro/58488-home_default/allen-heath-xone-92-x.jpg,https://www.zeedoshop.ro/produs_allen-heath-xone-92-x_34044_0,"Mixer analog DJ
Allen & Heath XONE:92",https://www.zeedoshop.ro/produs_allen-heath-xone-92-x_34044_0,"5,099 Lei",jack,mono
https://www.zeedoshop.ro/58510-home_default/allen-heath-xone-43c.jpg,https://www.zeedoshop.ro/produs_allen-heath-xone-43c_34046_0,"Mixer DJ
Allen & Heath Xone:43C",https://www.zeedoshop.ro/produs_allen-heath-xone-43c_34046_0,"3,129 Lei",jack,mono+stereo
https://www.zeedoshop.ro/58514-home_default/allen-heath-xone-23.jpg,https://www.zeedoshop.ro/produs_allen-heath-xone-23_34047_0,"Mixer DJ
Allen & Heath Xone:23",https://www.zeedoshop.ro/produs_allen-heath-xone-23_34047_0,"1,189 Lei",usb,stereo
https://www.zeedoshop.ro/58516-home_default/allen-heath-xone-23c.jpg,https://www.zeedoshop.ro/produs_allen-heath-xone-23c_34048_0,"Mixer DJ
Allen & Heath Xone:23C",https://www.zeedoshop.ro/produs_allen-heath-xone-23c_34048_0,"1,619 Lei",jack,mono+stereo
https://www.zeedoshop.ro/68903-home_default/pachete-zeedo-shop-djm-900nxs2-2-x-cdj-2000-nxs2.jpg,https://www.zeedoshop.ro/produs_pachete-zeedo-shop-djm-900nxs2-2-x-cdj-2000-nxs2_37498_0,"Set Pupitru DJ
DJM 900NXS2 + 2 x CDJ 2000 NXS2",https://www.zeedoshop.ro/produs_pachete-zeedo-shop-djm-900nxs2-2-x-cdj-2000-nxs2_37498_0,"28,397 Lei",usb,mono
https://www.zeedoshop.ro/68904-home_default/pachete-zeedo-shop-djm-750-mk2-2-x-cdj-900-nexus.jpg,https://www.zeedoshop.ro/produs_pachete-zeedo-shop-djm-750-mk2-2-x-cdj-900-nexus_37499_0,"Set Pupitru DJ
DJM 750 MK2 + 2 x CDJ 900 Nexus",https://www.zeedoshop.ro/produs_pachete-zeedo-shop-djm-750-mk2-2-x-cdj-900-nexus_37499_0,"18,548 Lei",usb,mono+stereo
https://www.zeedoshop.ro/68905-home_default/pachete-zeedo-shop-djm-750-mk2-2-x-xdj-1000-mk2.jpg,https://www.zeedoshop.ro/produs_pachete-zeedo-shop-djm-750-mk2-2-x-xdj-1000-mk2_37500_0,"Set Pupitru DJ
DJM 750 MK2 + 2 x XDJ 1000 MK2",https://www.zeedoshop.ro/produs_pachete-zeedo-shop-djm-750-mk2-2-x-xdj-1000-mk2_37500_0,"16,838 Lei",jack,stereo
https://www.zeedoshop.ro/68906-home_default/pachete-zeedo-shop-djm-s9-2-x-plx-1000.jpg,https://www.zeedoshop.ro/produs_pachete-zeedo-shop-djm-s9-2-x-plx-1000_37501_0,"Set Pupitru DJ
DJM S9 + 2 x PLX-1000",https://www.zeedoshop.ro/produs_pachete-zeedo-shop-djm-s9-2-x-plx-1000_37501_0,"14,054 Lei",usb,mono+stereo
https://www.zeedoshop.ro/68907-home_default/pachete-zeedo-shop-xone-92-2-x-plx-1000.jpg,https://www.zeedoshop.ro/produs_pachete-zeedo-shop-xone-92-2-x-plx-1000_37502_0,"Set Pupitru DJ
Xone 92 + 2 x PLX-1000",https://www.zeedoshop.ro/produs_pachete-zeedo-shop-xone-92-2-x-plx-1000_37502_0,"10,916 Lei",xlr,stereo
https://www.zeedoshop.ro/77699-home_default/omnitronic-gnome-202p-mini-mixer-silver.jpg,https://www.zeedoshop.ro/produs_omnitronic-gnome-202p-mini-mixer-silver_39782_0,"Mixer DJ Bluetooth Mini
Omnitronic GNOME-202P Silver",https://www.zeedoshop.ro/produs_omnitronic-gnome-202p-mini-mixer-silver_39782_0,329 Lei,xlr,mono+stereo
